it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	
0	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.11445847886574922	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	0.25061717646743858	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936	-0.13615869760168936
1000	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.1844350447536193	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	0.19983778348894096	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664	-0.015402738735321664
2000	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.24263902721458463	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.22806785045233238	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.26483076367405606	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.07272166606476603	0.072464176018759499	0.072464176018759499	0.072464176018759499	0.072464176018759499	0.072464176018759499	0.072464176018759499	0.072464176018759499	0.072464176018759499	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.022191736459471423	-0.036762913221723675	-0.036762913221723675	-0.036762913221723675	-0.036762913221723675	-0.036762913221723675	-0.036762913221723675	-0.036762913221723675	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15534618438756637	0.15560367443357287	0.15560367443357287	0.15560367443357287	0.15560367443357287	0.15560367443357287	0.15560367443357287	0.15560367443357287	0.15560367443357287
3000	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.19109237478143434	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.32714565619801328	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.061253378082868751	0.098925551885122323	0.098925551885122323	0.098925551885122323	0.098925551885122323	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	-0.13605328141657894	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.12983899669856558	0.09216682289631202	0.09216682289631202	0.09216682289631202	0.09216682289631202
4000	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.1893398577550246	0.38602015874215245	0.38602015874215245	0.38602015874215245	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.28591036431118988	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.049654931291405247	0.079232456513369742	0.079232456513369742	0.079232456513369742	0.079232456513369742	0.079232456513369742	-0.19668030098712785	-0.19668030098712785	-0.19668030098712785	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	-0.096570506556165281	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.13968492646361935	0.11010740124165486	0.11010740124165486	0.11010740124165486	0.11010740124165486	0.11010740124165486
5000	0.44059670937731377	0.44059670937731377	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.15702722760216375	0.82740959219277377	0.82740959219277377	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.19479722441743758	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.048102573624018291	0.08793292365843608	0.08793292365843608	0.08793292365843608	-0.38681288281546	-0.38681288281546	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	-0.037769996815273821	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.10892465397814546	0.069094303943727675	0.069094303943727675	0.069094303943727675
6000	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.14664388818362425	0.83393644381579413	0.83393644381579413	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.20607787956866119	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	0.062204953042165056	-0.68729255563216984	-0.68729255563216984	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	-0.059433991385036938	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198	0.084438935141459198
7000	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	0.17439000058679319	1.0016326860758202	1.0016326860758202	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.23695496861200813	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	0.049480005027956978	-0.82724268548902702	-0.82724268548902702	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	-0.06256496802521494	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621	0.12490999555883621
8000	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	0.16414223387548121	1.4333359228805922	1.4333359228805922	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.22407732263293723	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	0.068334891497383213	-1.269193689005111	-1.269193689005111	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	-0.059935088757456012	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001	0.095807342378098001
9000	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.14892806731590708	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	0.15163109936506189	1.2709937175078576	1.2709937175078576	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.18707874695584392	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	0.054159356264145329	-1.1220656501919506	-1.1220656501919506	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	-0.038150679639936846	0.094768711051761739	0.094768711051761739	0.094768711051761739	0.094768711051761739	0.094768711051761739	0.094768711051761739	0.094768711051761739	0.094768711051761739	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552	0.097471743100916552
