"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"180833","occ","","","17341","Heteromyidae","family","41673","Whitneyan","","33.3","30.8","2738"
"181231","occ","","","17460","Heteromyidae","family","41673","Arikareean","","30.8","20.43","2356"
"181373","occ","","","17494","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","3345"
"181374","occ","","","17494","Proheteromys ironcloudi","species","50777","Geringian","","30.8","26.3","3345"
"181412","occ","","","17497","Heteromyidae","family","41673","Arikareean","","30.8","20.43","1359"
"181518","occ","4405","","17516","Proheteromys gremmelsi","species","50775","Arikareean","","30.8","20.43","6294"
"181576","occ","10056","","17526","Proheteromys ironcloudi","species","50777","Monroecreekian","","26.3","24.8","7360"
"181577","occ","10057","","17526","Schizodontomys harkseni","species","46719","Monroecreekian","","26.3","24.8","7360"
"181735","occ","","","17541","Proharrymys fedti","species","50772","Arikareean","","30.8","20.43","3345"
"181782","occ","4502","","17544","Proharrymys schlaikjeri","species","46829","Geringian","","30.8","26.3","6294"
"181783","occ","","","17544","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","3345"
"181784","occ","","","17544","Proheteromys ironcloudi","species","50777","Geringian","","30.8","26.3","3345"
"181829","occ","","","17561","Proheteromys ironcloudi","species","50777","Monroecreekian","","26.3","24.8","2356"
"181881","occ","","","17566","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","3345"
"181891","occ","","","17567","Proharrymys fedti","species","50772","Arikareean","","30.8","20.43","3345"
"182106","occ","","","17630","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","2356"
"182160","occ","4697","","17635","Proheteromys gremmelsi","species","50775","Geringian","","30.8","26.3","6294"
"182226","occ","","","17638","Proheteromys gremmelsi","species","50775","Geringian","","30.8","26.3","2356"
"182249","occ","","","17641","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","2356"
"182250","occ","4749","","17641","Proheteromys gremmelsi","species","50775","Geringian","","30.8","26.3","6294"
"182278","occ","","","17643","Proheteromys gremmelsi","species","50775","Geringian","","30.8","26.3","2356"
"182318","occ","","","17651","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","2356"
"182343","occ","4801","","17659","Proharrymys schlaikjeri","species","46829","Geringian","","30.8","26.3","6294"
"182366","occ","4815","","17666","Proharrymys schlaikjeri","species","46829","Arikareean","","30.8","20.43","6294"
"182486","occ","","","17708","Proharrymys schlaikjeri","species","46829","Arikareean","","30.8","20.43","3386"
"182550","occ","4899","","17726","Harrymys magnus","species","50779","Geringian","Monroecreekian","30.8","24.8","936"
"182552","occ","","","17726","Proheteromys floridanus","species","50773","Geringian","Monroecreekian","30.8","24.8","936"
"182553","occ","","","17726","Heteromyidae","family","41673","Geringian","Monroecreekian","30.8","24.8","936"
"182572","occ","","","17731","Heteromyidae","family","41673","Arikareean","","30.8","20.43","2362"
"182577","occ","","","17734","Dikkomys matthewi","species","45737","Harrisonian","","24.8","20.43","3723"
"182647","occ","","","17749","Proheteromys matthewi","species","50780","Harrisonian","","24.8","20.43","2356"
"182693","occ","4961","","17764","Harrymys magnus","species","50779","Harrisonian","","24.8","20.43","936"
"183032","occ","5058","","17825","Schizodontomys harkseni","species","46719","Harrisonian","","24.8","20.43","6294"
"183033","occ","","","17825","Dikkomys matthewi","species","45737","Harrisonian","","24.8","20.43","2356"
"183038","occ","5061","","17829","Schizodontomys harkseni","species","46719","Harrisonian","","24.8","20.43","6294"
"183082","occ","5074","","17837","Harrymys magnus","species","50779","Harrisonian","","24.8","20.43","936"
"183084","occ","","","17837","Proheteromys floridanus","species","50773","Harrisonian","","24.8","20.43","2610"
"183101","occ","","","17843","Harrymys","genus","41681","Harrisonian","","24.8","20.43","975"
"183102","occ","19127","","17843","Dikkomys matthewi","species","45737","Harrisonian","","24.8","20.43","19303"
"183108","occ","","","17844","Proheteromys cejanus","species","50770","Harrisonian","","24.8","20.43","1587"
"183109","occ","","","17844","Proheteromys floridanus","species","50773","Harrisonian","","24.8","20.43","1587"
"183128","occ","","","17847","Schizodontomys sulcidens","species","51450","Harrisonian","","24.8","20.43","2132"
"183144","occ","5092","","17852","Trogomys rupinimenthae","species","52523","Arikareean","","30.8","20.43","2851"
"183174","occ","","","17859","Proheteromys floridanus","species","50773","Arikareean","","30.8","20.43","2610"
"183175","occ","5107","","17859","Harrymys magnus","species","50779","Arikareean","","30.8","20.43","6294"
"183184","occ","10418","","17860","Heteromyidae","family","41673","Chattian","","28.1","23.03","9613"
"183192","occ","","","17862","Heteromyidae","family","41673","Harrisonian","","24.8","20.43","2507"
"183200","occ","","","17865","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183253","occ","","","17877","Dikkomys matthewi","species","45737","Hemingfordian","","20.43","15.97","2408"
