Species	Status	min_age	max_age
Heteromyidae	extinct	30.8	33.3
Heteromyidae	extinct	20.43	30.8
Proharrymys_fedti	extinct	26.3	30.8
Proheteromys_ironcloudi	extinct	26.3	30.8
Heteromyidae	extinct	20.43	30.8
Proheteromys_gremmelsi	extinct	20.43	30.8
Proheteromys_ironcloudi	extinct	24.8	26.3
Schizodontomys_harkseni	extinct	24.8	26.3
Proharrymys_fedti	extinct	20.43	30.8
Proharrymys_schlaikjeri	extinct	26.3	30.8
Proharrymys_fedti	extinct	26.3	30.8
Proheteromys_ironcloudi	extinct	26.3	30.8
Proheteromys_ironcloudi	extinct	24.8	26.3
Proharrymys_fedti	extinct	26.3	30.8
Proharrymys_fedti	extinct	20.43	30.8
Proharrymys_fedti	extinct	26.3	30.8
Proheteromys_gremmelsi	extinct	26.3	30.8
Proheteromys_gremmelsi	extinct	26.3	30.8
Proharrymys_fedti	extinct	26.3	30.8
Proheteromys_gremmelsi	extinct	26.3	30.8
Proheteromys_gremmelsi	extinct	26.3	30.8
Proharrymys_fedti	extinct	26.3	30.8
Proharrymys_schlaikjeri	extinct	26.3	30.8
Proharrymys_schlaikjeri	extinct	20.43	30.8
Proharrymys_schlaikjeri	extinct	20.43	30.8
Harrymys_magnus	extinct	24.8	30.8
Proheteromys_floridanus	extinct	24.8	30.8
Heteromyidae	extinct	24.8	30.8
Heteromyidae	extinct	20.43	30.8
Dikkomys_matthewi	extinct	20.43	24.8
Proheteromys_matthewi	extinct	20.43	24.8
Harrymys_magnus	extinct	20.43	24.8
Schizodontomys_harkseni	extinct	20.43	24.8
Dikkomys_matthewi	extinct	20.43	24.8
Schizodontomys_harkseni	extinct	20.43	24.8
Harrymys_magnus	extinct	20.43	24.8
Proheteromys_floridanus	extinct	20.43	24.8
Harrymys	extinct	20.43	24.8
Dikkomys_matthewi	extinct	20.43	24.8
Proheteromys_cejanus	extinct	20.43	24.8
Proheteromys_floridanus	extinct	20.43	24.8
