Species	Status
Chaetodipus_formosus	extinct
Chaetodipus_hispidus	extant
Chaetodipus_intermedius	extant
Cupidinimus	extinct
Cupidinimus_avawatzensis	extinct
Cupidinimus_bidahochiensis	extinct
Cupidinimus_boronensis	extinct
Cupidinimus_cuyamensis	extinct
Cupidinimus_halli	extinct
Cupidinimus_lindsayi	extinct
Cupidinimus_magnus	extinct
Cupidinimus_nebraskensis	extinct
Cupidinimus_prattensis	extinct
Cupidinimus_smaragdinus	extinct
Cupidinimus_tertius	extinct
Cupidinimus_whitlocki	extinct
Dikkomys	extinct
Dikkomys_matthewi	extinct
Dipodomys	extinct
Dipodomys_agilis	extinct
Dipodomys_compactus	extinct
Dipodomys_deserti	extinct
Dipodomys_gidleyi	extinct
Dipodomys_hibbardi	extinct
Dipodomys_merriami	extant
Dipodomys_microps	extinct
Dipodomys_minor	extinct
Dipodomys_ordii	extant
Dipodomys_ordii_montanus	extinct
Dipodomys_pattersoni	extinct
Dipodomys_spectabilis	extant
Diprionomys	extinct
Diprionomys_agrarius	extinct
Diprionomys_minimus	extinct
Diprionomys_parvus	extinct
Harrymyinae	extinct
Harrymys	extinct
Harrymys_canadensis	extinct
Harrymys_irvini	extinct
Harrymys_magnus	extinct
Harrymys_woodi	extinct
Heteromyidae	extinct
Heteromyinae	extinct
Lignimus	extinct
Lignimus_austridakotensis	extinct
Lignimus_montis	extinct
Liomys_irroratus	extinct
Metaliomys_sevierensis	extinct
Mioheteromys	extinct
Mioheteromys_amplissimus	extinct
Mioheteromys_arcarius	extinct
Mioheteromys_subterior	extinct
Mookomys	extinct
Mookomys_altifluminis	extinct
Mookomys_formicarum	extinct
Mookomys_subtilis	extinct
Mookomys_thrinax	extinct
Oregonomys_magnus	extinct
Oregonomys_pebblespringsensis	extinct
Oregonomys_sargenti	extinct
Peridiomys_borealis	extinct
Peridiomys_halis	extinct
Peridiomys_oregonensis	extinct
Peridiomys_rusticus	extinct
Perognathoides_eurekensis	extinct
Perognathoides_kleinfelderi	extinct
Perognathoides_quartus	extinct
Perognathus	extinct
Perognathus_ancenensis	extinct
Perognathus_brevidens	extinct
Perognathus_carpenteri	extinct
Perognathus_coquorum	extinct
Perognathus_dunklei	extinct
Perognathus_flavus	extant
Perognathus_furlongi	extinct
Perognathus_gidleyi	extinct
Perognathus_henryredfieldi	extinct
Perognathus_huastecensis	extinct
Perognathus_maldei	extinct
Perognathus_mclaughlini	extinct
Perognathus_minutus	extinct
Perognathus_pearlettensis	extinct
Perognathus_rexroadensis	extinct
Perognathus_saskatchewanensis	extinct
Perognathus_stevei	extinct
Perognathus_strigipredus	extinct
Perognathus_trojectioansrum	extinct
Prodipodomys	extinct
Prodipodomys_centralis	extinct
Prodipodomys_griggsorum	extinct
Prodipodomys_idahoensis	extinct
Prodipodomys_kansensis	extinct
Prodipodomys_riversidensis	extinct
Prodipodomys_tiheni	extinct
Prodipodomys_timoteoensis	extinct
Proharrymys	extinct
Proharrymys_fedti	extinct
Proharrymys_schlaikjeri	extinct
Proharrymys_wahlerti	extinct
Proheteromys	extinct
Proheteromys_cejanus	extinct
Proheteromys_floridanus	extinct
Proheteromys_gremmelsi	extinct
Proheteromys_ironcloudi	extinct
Proheteromys_matthewi	extinct
Proheteromys_maximus	extinct
Proheteromys_sabinensis	extinct
Proheteromys_sulculus	extinct
Proheteromys_toledoensis	extinct
Schizodontomys	extinct
Schizodontomys_amnicolus	extinct
Schizodontomys_greeni	extinct
Schizodontomys_harkseni	extinct
Schizodontomys_sulcidens	extinct
Stratimus	extinct
Stratimus_strobeli	extinct
Trogomys	extinct
Trogomys_rupinimenthae	extinct
